partition,client_id,mean_effective_lambda,observations,mean_reliability,mean_prediction_entropy
beta_0.1,0,0.37192633473099873,4,0.40672006564480917,0.8780358779214715
beta_0.1,1,0.24631711082317567,7,0.27667989475386484,0.8701497830786253
beta_0.1,2,0.2997334843059351,2,0.3089590242930821,0.9217699466489702
beta_0.1,3,0.3875831851349171,2,0.42443291284143925,0.8759995468647699
beta_0.1,4,0.32248783419317045,4,0.3354205251671374,0.9166116181155316
beta_0.1,5,0.24524278830161508,2,0.25422810869557516,0.9188612819946903
beta_0.1,6,0.33881110312911805,2,0.3546869265181678,0.9069133188833356
beta_0.1,7,0.23866088049271997,1,0.2617289986875322,0.8751980904364743
beta_0.1,8,0.26646454131984465,3,0.2726822793483734,0.9305586877401074
beta_0.1,9,0.28871331014483553,3,0.30552958250045775,0.8978930067082939
beta_0.1,10,0.3374714562899987,1,0.37280252150126864,0.8715060068201926
beta_0.1,11,0.3089333586212513,1,0.32884826759497326,0.8927585575602991
beta_0.1,12,0.30040462802304835,3,0.34049048909434565,0.8614482627481652
beta_0.1,13,0.3808869783789752,2,0.4128391018935612,0.8841937746111204
beta_0.1,15,0.3102601813383678,1,0.3301999941468239,0.8928834400724615
beta_0.1,16,0.29668818559004917,4,0.32061932070387733,0.8849027852094198
beta_0.1,17,0.2901950173612893,4,0.3292362694111135,0.8641026030483046
beta_0.1,18,0.2606612699433486,1,0.26624483508723124,0.932567596993377
beta_0.1,19,0.3183261960667522,2,0.3282667547464371,0.9204085595577428
beta_0.1,20,0.38531515050973164,6,0.4290594228853782,0.8728096819354106
beta_0.1,21,0.3523728988441539,3,0.4060258709249042,0.8684057445767985
beta_0.1,22,0.2917288620029374,3,0.3065857482807977,0.905909615623736
beta_0.1,23,0.3060108646048025,1,0.3521157545702798,0.8535376998799564
beta_0.1,24,0.28975996341752125,6,0.3070736036256508,0.9183139876426774
beta_0.1,25,0.3168365471379136,3,0.3280860512029557,0.9177507425464951
beta_0.1,26,0.35956028408138146,6,0.4041797146201134,0.8670512835557115
beta_0.1,27,0.27220860700335553,6,0.2892956713007556,0.9085247979775408
beta_0.1,28,0.25524659178651476,3,0.26300096732598766,0.9286086756849109
beta_0.1,29,0.31555271883722225,6,0.33551141868035,0.8949070817313055
beta_0.1,30,0.33113465785608176,3,0.3491264879703522,0.9023424967914556
beta_0.1,31,0.33104665911139003,1,0.3510944147904714,0.8953101286268411
beta_0.1,32,0.22991981453373644,4,0.23667174639801183,0.9286944704537439
beta_0.1,33,0.27546121839408294,3,0.28444695188885644,0.9185879610475108
beta_0.1,34,0.30518282750231407,2,0.3219577946833202,0.899169668867307
beta_0.1,35,0.33291576758613417,4,0.4010927099734545,0.8433766105828381
beta_0.1,36,0.377825554186505,3,0.40641649936636287,0.8889522941791452
beta_0.1,37,0.3621231448251053,5,0.4414129325321743,0.8390686466643487
beta_0.1,38,0.41113763551047766,4,0.463586394675076,0.8685192258006189
beta_0.1,39,0.28389972100538663,2,0.2911745107599667,0.9270543398677212
beta_0.1,40,0.2886811558029165,2,0.29852866878112155,0.9172265426596944
beta_0.1,41,0.3713136259382907,4,0.38497327587434216,0.9245237902328685
beta_0.1,42,0.3278929375071575,6,0.3665780707572897,0.8829867164396671
beta_0.1,43,0.31823100506227275,4,0.3496389229382787,0.8796887818904465
beta_0.1,44,0.3050983286731796,3,0.31996453429261845,0.9087318577700202
beta_0.1,45,0.3461618016818808,5,0.3585764894882838,0.9161508124847103
beta_0.1,46,0.29743717712521917,3,0.3085790804276864,0.9168631663146533
beta_0.1,47,0.2765821746102495,4,0.283677910055433,0.926894356743338
