dataset,partition,client_id,mean_effective_lambda,observations,source
CIFAR-100,iid,35,0.21446587145328522,4,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,36,0.22019197791814804,4,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,37,0.24161542313439505,7,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,38,0.21506919711828232,4,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,39,0.2275407463312149,3,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,40,0.20303205400705338,2,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,41,0.21659036974112192,3,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,43,0.19900280237197876,1,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,44,0.24106351658701897,4,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,45,0.21799293160438538,4,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
